
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.5932813695998","20.1368079502088","12.2014913549698","2.08965490393929","3.83467885106374","0.270153782497729","1.00940648426673","2.26506662517265","-2.07312044322271","-2.32484588456354","4.24198280379015","-0.146480395348519","-0.72850706117724","5.41726166615231","1.9234202739721","-3.14730992354858","-0.988759076332258","5.40362964044658","-1.66362656705716","0.334448805441582","2.69340396293028","1.69679832535749","-11.7619326921085","-2.93638249111949","2.97681039252733","-1.53229709714586","5.81082898029757","-0.609126754460164","2.98492137737192","1.60450144014939","4.98579980408019","0.803198201201823","-2.51295690258098","-22.6507254829997","",
"Africa Eastern and Southern","AFE","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","-2.243253554047","5.26987714300873","2.49251949375011","1.89679292249791","2.60210348108964","1.20282341426881","2.48994294929356","1.26112327282122","2.44765910545075","1.84402991550606","2.45724904959749","-0.708160772590645","1.48772721825445","2.87839706441686","-1.17516250704601","-0.101612972715387","-1.68048008868197","-1.87694466683837","-0.171622351651123","2.37442217038561","1.32086686625135","-2.38614029708624","-2.73225378727619","0.0293852799327681","-3.33459509465202","-0.690702247208833","1.19547774571717","0.981289196909586","-0.0570790890855477","-2.86915565320784","-2.68858590440112","-4.67863196380505","-3.09714394228207","-0.706090014263339","1.53863687944373","2.69086051521509","1.73518495770435","-0.753355236291696","0.0229173933397533","0.71969750827536","1.0174924398132","1.24127688470213","0.439456982084295","2.78875883751996","3.3611765291862","3.7679344822154","3.79841609366058","1.58044518230666","-1.92083208823348","2.34041500317532","0.899456618075448","-1.79086927273272","1.40005092900091","1.20095556372807","0.214389345726261","-0.48212518736635","-0.130261330356348","-0.175692032592238","-0.595036530403519","-5.35281931001145","1.68778857914957",
"Afghanistan","AFG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.86838029515866","-2.87520316702623","7.20796721836321","2.25331064367975","11.0227871655922","1.59421545820915","18.5154192936617","11.264090568989","-2.68106105621827","8.97486534263292","1.97416569047293","-0.665291050796171","-1.62285718631547","-0.541416195952564","0.0647641950115201","-1.19490038335884","1.53563667424","-4.57503186436271","",
"Africa Western and Central","AFW","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","-0.23237270466808","1.60230659180642","4.99061472729518","3.12467222911525","1.78394565933738","-3.94641660779882","-11.5572645007478","-0.819495597767528","12.8494921647597","15.1635870453131","8.18513768088407","0.666434475466815","1.66298801419424","7.49600733420282","-4.66021234955973","5.75214597516374","1.95327170022756","-4.8156673997876","2.3910613169551","-0.76473427494092","-9.45430612319012","-5.97129717117764","-9.06821567250047","-2.16414202872963","2.69794811985422","-1.32178614326133","-1.28187071328242","2.03419226026509","-0.453001740618618","3.74219011346835","-1.5367997795","0.0102627485475608","-3.73600633413221","-2.89948603289568","-0.738966864298646","1.88098340773217","1.48752449113789","0.773382169276289","-1.25633282493885","1.00005646003738","2.44492371601332","7.01069960815597","2.73823453562061","5.149748161208","3.01871694860603","2.53364000107513","2.66777958767676","3.38635681599912","3.38332278638643","4.05658549014869","2.01718136657811","2.3152066274764","3.26083885796986","3.09678925437713","0.00736135194708254","-2.53331934312851","-0.391017874916955","0.24149136575366","0.504841729305411","-3.46569688671363","1.24566867044331",
"Angola","AGO","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-7.71027785327581","-3.49038324819772","0.548516269019458","2.28850779863114","-0.107614902228534","-0.670777629005372","0.488466541483021","2.49662963710216","-3.33595391564681","-6.65746725949467","-2.31086799673233","-8.87693119524158","-26.4117713544843","-1.87789751012431","11.3595386650654","9.95278659158234","3.87785809963763","1.36474401726814","-1.08529845116867","-0.267956297993877","0.822138301563214","9.94375990779743","-0.431688883858655","7.18429906303915","11.0318299149638","7.58455318567415","9.8900315145689","7.12056890515009","-2.80735901970168","1.07988995275427","-0.222748797031855","4.70440852719756","1.28760778892259","1.21734336059794","-2.47218813531357","-5.81613955070978","-3.41267936474142","-4.49694682670683","-3.86855912437153","-8.49308612116926","-2.46740354976019",
"Albania","ALB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","3.64864854723071","0.795840071093252","-1.01680217228552","-3.30749720231945","-0.290595348322142","3.61465554406624","-2.74949637948961","-3.26252233446822","6.9236172850875","-11.187905298961","-27.5668208369982","-6.62255121235502","10.2299493531342","8.96976165855091","14.0244959298688","9.78017987930293","-10.3611049709411","9.51648443822282","13.6080691237129","7.63002243937019","9.31439713939355","4.85047533419143","5.9242115424577","5.9565695961824","6.06788243935723","6.57292298236362","6.78722893588666","8.3281084229243","4.05313986380152","4.22308382721044","2.82164245514005","1.58487281451019","1.18723435286199","1.98538809180384","2.51682705417127","3.48029321671386","3.89774060601475","4.27632565399514","2.52389372255597","-2.92582095677083","9.5548753337865",
"Andorra","AND","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","-0.654422132821068","2.86394237406667","2.64568364838897","1.02760195246729","-3.35439830533775","-0.196879326412784","-0.258915172582419","-1.46867434617053","-3.0638246663281","-1.29997673342071","-3.95427564896322","-2.93903109471275","-2.56185005231178","-2.62933568979565","-2.00840671997588","-1.02374509952388","1.32384331879894","0.980825123982726","0.791996841870073","-0.133166844392832","-1.35923551912902","-2.86921567205975","-4.42706504168856","-0.397087331634665","0.852320249183208","3.83189583005073","9.14398109777854","3.48117744689822","3.73034616646351","1.91028641179476","4.98225233757914","0.510652936783501","4.04224626820309","3.78188582874981","1.89527131463494","2.06020231362646","-0.518849647046451","-6.88581740186976","-5.9766840451389","-1.96683315898277","0.834867424241708","-3.45153545003302","-1.5688713381525","4.51927941301172","3.02081678005885","4.64621154922207","0.734439351000333","1.57425431733354","1.83306059347608","-11.3207303470788","8.82406572722756",
"Arab World","ARB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","12.2095661971377","4.67946866398418","-3.77659400870061","7.42305030500134","5.59056977979162","0.17443402369679","-11.1121000342508","-9.04274963962629","-1.71020248362403","-4.88802723128927","1.48152304448313","-2.90754579930605","2.87585629368152","-0.633541067365258","8.08817330705975","-0.309393932117018","3.28324274915535","0.453444159170104","0.681798533897179","-0.0813818869028609","2.3337347585703","2.4332000972704","2.89922356521622","-0.316536811390108","4.29491281676795","-0.434618405696767","-1.44818101732216","2.62477501318233","6.46811775021301","3.14080865748498","3.61760786005605","2.09113535549234","3.03288015805465","-1.97014209883986","2.31479602529095","0.893394922871195","2.73217153819641","0.333327522708473","0.184195515542001","0.937482200579581","1.12856552807057","-0.698947427286313","0.435552327139106","-0.317407140508479","-6.83905928346982","1.56526404387627",
"United Arab Emirates","ARE","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","0.154395318524962","5.35067952701831","-13.3860404602886","8.43164646676371","13.2121400563276","-2.6987336942244","-12.1820232275995","-9.68052433618057","-1.2493706051328","-8.68902715204911","-19.6748189208723","-2.49252311589997","-8.21745806286394","5.9187171246771","11.6777689161566","-4.80063554272371","-2.48118749373106","-4.34175105789512","1.24742436850995","1.35494771881514","0.630737901066453","2.83466487200788","-4.76511125165072","-2.3994883205427","4.9091597030279","-3.77890533210494","-2.75030295382335","1.96632118700073","-0.0380101659582976","-7.02036305064239","-4.9166693070077","-11.3456527143693","-10.2086460930316","-15.1512246817973","-5.91493077766168","2.18634402990557","2.25709897595851","4.40993826131566","4.22567716724525","4.50781768694726","1.90520573929507","1.01143077389321","-0.320590314360061","1.93443148259161","-7.2721729746159","",
"Argentina","ARG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","3.72877851385579","-2.42584315141401","-6.78823959253077","8.43724398830246","8.89680927674999","-2.13647776508532","1.67843470314565","3.28693767747738","8.05027928347988","1.4794944087712","4.00746532050165","0.0058359526056222","1.15692075332213","3.85175778459927","-1.58782938653039","-3.50639094485236","5.34299004782892","-5.91640145248037","8.57769016982598","-0.0296099976938393","-6.66849782084861","-2.30776613558768","2.68198183539825","-0.0518465921922342","-6.69259067506709","4.48432686156282","1.10606452584452","-2.60323622710837","-8.54086201266614","-3.87408535592273","7.61432641597717","6.48763181805525","6.80292690150243","4.50545680141448","-4.03215881088221","4.27458646483123","6.86473336181048","2.68100281607806","-4.4551784591153","-1.87493636731784","-5.44704817261687","-11.8547817184023","7.67653404752819","7.88493750549884","7.72948899640498","6.95553357619964","7.9242108884188","3.02950065191851","-6.85422505520184","9.30012292248985","4.78868313859435","-2.14528444981812","1.26568517537076","-3.57858050983289","1.62966427946263","-3.11006389821465","1.75764818265694","-3.60160975657155","-2.99438788864292","-10.7651077297352","9.22395557148646",
